Model,Accuracy,Clarity,Relevancy,Style,Quality,Average
O1-Preview @ 1Pass,7.0,8.0,8.0,10.0,8.25,8.25
O1-Preview @ 1Pass,6.0,7.0,8.0,10.0,7.75,7.75
Claude 3 Haiku @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Haiku @ 1Pass,6.0,7.0,8.0,9.0,7.5,7.5
Claude 3 Haiku @ 1Pass,6.0,7.0,8.0,8.0,7.25,7.25
Claude 3 Haiku @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Haiku @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Haiku @ 1Pass,7.0,9.0,8.0,9.0,8.25,8.25
Claude 3 Haiku @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
Claude 3 Haiku @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Haiku @ 1Pass,7.0,8.0,9.0,8.0,8.0,8.0
Claude 3 Haiku @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Sonnet @ 1Pass,8.0,9.0,8.0,9.0,8.5,8.5
Claude 3 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Sonnet @ 1Pass,8.0,9.0,8.0,10.0,8.75,8.75
Claude 3 Sonnet @ 1Pass,8.0,8.0,9.0,9.0,8.5,8.5
Claude 3 Sonnet @ 1Pass,8.0,8.0,8.0,9.0,8.25,8.25
Claude 3 Sonnet @ 1Pass,8.0,8.0,8.0,10.0,8.5,8.5
Claude 3 Sonnet @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
Claude 3 Opus @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
Claude 3 Opus @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Opus @ 1Pass,8.0,9.0,8.0,9.0,8.5,8.5
Claude 3 Opus @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Opus @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
Claude 3 Opus @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Opus @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Opus @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
Claude 3 Opus @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3 Opus @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,10.0,8.25,8.25
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Claude 3.5 Sonnet @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Flash @ 1Pass,8.0,8.0,8.0,9.0,8.25,8.25
Gemini 1.5 Flash @ 1Pass,8.0,9.0,9.0,9.0,8.75,8.75
Gemini 1.5 Flash @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Flash @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Flash @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
Gemini 1.5 Flash @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Flash @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Flash @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Flash @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Flash @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,10.0,8.25,8.25
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemini 1.5 Pro @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
